epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,2.228272300095709,0.44550974752317035,0.8787589874760858,0.7568058076225045,9.939057285945933e-05,0.0009938503261272714
2,0.6727339055218915,0.8210290827740492,0.511399354562569,0.852994555353902,9.757729755661012e-05,0.0009755527298894295
3,0.31941719783232514,0.9137104506232023,0.37443618853652544,0.8747731397459165,9.460482294732422e-05,0.0009455577588320899
4,0.18071090449546617,0.9562160434643656,0.3717803357679485,0.8874773139745916,9.054634122155992e-05,0.0009046039886902865
5,0.10100427447925668,0.9798657718120806,0.3260127100180801,0.8983666061705989,8.550178566873411e-05,0.0008536998372026806
6,0.0692586774460688,0.9859379993608182,0.3389532911690956,0.896551724137931,7.959536998847744e-05,0.0007940987335200905
7,0.04458019110356592,0.9923298178331735,0.34331646913192665,0.8874773139745916,7.297252973710758e-05,0.0007272682546199038
8,0.031034394546262216,0.9961649089165868,0.30827937430673413,0.9038112522686026,6.579634122155991e-05,0.0006548539886902865
9,0.0296983719229241,0.9952061361457335,0.2979547894152453,0.896551724137931,5.824350601949144e-05,0.0005786390152875956
10,0.019633390843992075,0.9968040907638223,0.3071455139321987,0.9074410163339383,5.050000000000001e-05,0.0005005000000000002
11,0.01637086235183226,0.9984020453819111,0.2781676336879523,0.9128856624319419,4.275649398050859e-05,0.000422360984712405
12,0.011364226948294864,0.9996804090763822,0.2760413315573102,0.9038112522686026,3.520365877844011e-05,0.00034614601130971394
13,0.00933329985033841,0.9996804090763822,0.2770030937155881,0.911070780399274,2.8027470262892444e-05,0.0002737317453800965
14,0.009919101873590718,0.9996804090763822,0.28481173390918113,0.911070780399274,2.1404630011522593e-05,0.00020690126647990978
15,0.008171871202123093,0.9996804090763822,0.2894317763037777,0.911070780399274,1.5498214331265904e-05,0.00014730016279731957
16,0.006692138562421232,0.9996804090763822,0.26305162411744276,0.9147005444646098,1.0453658778440109e-05,9.639601130971382e-05
17,0.006762383768222476,0.9993608181527645,0.2685752401226445,0.911070780399274,6.3951770526757955e-06,5.54422411679103e-05
18,0.007354683260299139,0.9990412272291467,0.2748530393503539,0.9165154264972777,3.422702443389901e-06,2.5447270110570818e-05
19,0.006627469712147443,1.0,0.27301401749063964,0.9183303085299456,1.609427140540686e-06,7.149673872728741e-06
20,0.006289944438291752,0.9993608181527645,0.26924107993146684,0.9128856624319419,1e-06,1e-06
