epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,2.475729871040032,0.5196548418024928,1.4206403219115713,0.8166969147005445,2.98214809386295e-05,0.00029815940691897306
2,1.297472987894282,0.8619367209971237,1.1042126756830786,0.9092558983666061,2.929031948627973e-05,0.0002926829491861254
3,1.064988879130343,0.9194630872483222,1.0288152417773127,0.9219600725952813,2.8419594600731336e-05,0.00028370547536616097
4,0.9665876643160122,0.9482262703739214,0.9949024614967582,0.9183303085299456,2.723074641843674e-05,0.00027144804065905466
5,0.9121437240766999,0.966762543943752,0.9684091530564476,0.9328493647912885,2.575304832720494e-05,0.0002562124637873889
6,0.8703203773148032,0.973793544263343,0.9630855351091513,0.925589836660617,2.4022886158240864e-05,0.00023837389521772474
7,0.8432010137528114,0.987535953978907,0.9484770828063604,0.9437386569872959,2.2082862246223432e-05,0.00021837157971106225
8,0.8184653231228225,0.9897730904442313,0.946808926098576,0.9328493647912885,1.998074641843674e-05,0.00019669804065905466
9,0.8002690446761592,0.9939277724512624,0.9430511417492764,0.9364791288566243,1.776829974308335e-05,0.00017388695252351454
10,0.7865380791857358,0.99712368168744,0.936627592668343,0.9346642468239564,1.55e-05,0.0001505
11,0.7779521787840934,0.995845317992969,0.9427468791847436,0.9310344827586207,1.3231700256916657e-05,0.0001271130474764855
12,0.7679106587036306,0.9980824544582934,0.9367475526951619,0.9310344827586207,1.1019253581563265e-05,0.00010430195934094536
13,0.7681489636738791,0.9987216363055289,0.9355963944523391,0.9328493647912885,8.917137753776574e-06,8.262842028893775e-05
14,0.7582708192199288,0.9996804090763822,0.9354948345199904,0.9274047186932849,6.977113841759142e-06,6.262610478227527e-05
15,0.7571503340188365,0.9987216363055289,0.9338081218369859,0.9364791288566243,5.246951672795062e-06,4.478753621261114e-05
16,0.7518094516326231,0.9993608181527645,0.9361900699117006,0.9346642468239564,3.769253581563264e-06,2.9551959340945366e-05
17,0.7500357680253686,0.9996804090763822,0.9338641484722684,0.9328493647912885,2.5804053992686675e-06,1.7294524633839014e-05
18,0.749096675969115,1.0,0.9301480990572547,0.9382940108892922,1.7096805137202739e-06,8.317050813874547e-06
19,0.748810917167627,0.9996804090763822,0.9319694562529479,0.9328493647912885,1.1785190613705039e-06,2.84059308102692e-06
20,0.7473762079182811,0.9996804090763822,0.9297680099733079,0.9382940108892922,1e-06,1e-06
