epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,1.1322250839390668,0.6858421220837329,0.3787105560519085,0.8911070780399274,9.939057285945933e-05,0.0009938503261272714
2,0.3000216647320641,0.9041227229146692,0.3503027022452839,0.8892921960072595,9.757729755661012e-05,0.0009755527298894295
3,0.16940338134803723,0.945989133908597,0.31248283607990035,0.8911070780399274,9.460482294732422e-05,0.0009455577588320899
4,0.11798846201608645,0.9610099073186321,0.24569659987075793,0.9219600725952813,9.054634122155992e-05,0.0009046039886902865
5,0.08913582124318434,0.973793544263343,0.33242900223013166,0.8947368421052632,8.550178566873411e-05,0.0008536998372026806
6,0.045846439923016014,0.9881751358261426,0.2593917800367095,0.9219600725952813,7.959536998847744e-05,0.0007940987335200905
7,0.037209076407020536,0.9904122722914669,0.2688389203347225,0.911070780399274,7.297252973710758e-05,0.0007272682546199038
8,0.03353890305287962,0.9891339085969958,0.252671239759009,0.9237749546279492,6.579634122155991e-05,0.0006548539886902865
9,0.019199977017231893,0.9961649089165868,0.22816966597781857,0.9292196007259528,5.824350601949144e-05,0.0005786390152875956
10,0.011785846240770878,0.9977628635346756,0.20098195223310142,0.9364791288566243,5.050000000000001e-05,0.0005005000000000002
11,0.006634819160533141,0.9987216363055289,0.2050167128254411,0.9346642468239564,4.275649398050859e-05,0.000422360984712405
12,0.004849140124396085,1.0,0.20946877080264303,0.9364791288566243,3.520365877844011e-05,0.00034614601130971394
13,0.0035513440197939097,1.0,0.20233730161511854,0.9382940108892922,2.8027470262892444e-05,0.0002737317453800965
14,0.0031430872523911316,1.0,0.20255462599989235,0.9364791288566243,2.1404630011522593e-05,0.00020690126647990978
15,0.002186375671027948,1.0,0.20340422165669678,0.9364791288566243,1.5498214331265904e-05,0.00014730016279731957
16,0.0022988509127531485,1.0,0.20540041462290093,0.9401088929219601,1.0453658778440109e-05,9.639601130971382e-05
17,0.001824150149007743,1.0,0.2024322839795245,0.9382940108892922,6.3951770526757955e-06,5.54422411679103e-05
18,0.0019422397324794557,1.0,0.2026412977064586,0.9382940108892922,3.422702443389901e-06,2.5447270110570818e-05
19,0.002220541305568268,1.0,0.20089612890055197,0.9382940108892922,1.609427140540686e-06,7.149673872728741e-06
20,0.0027231232890577678,0.9996804090763822,0.20030273345659086,0.9382940108892922,1e-06,1e-06
