epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2078.67,1.16279,0.73526,0.94725,0.64516,0.55174,0.56385,0.35165,1.17173,0.79408,0.95796,0.00900844,0.00900844,0.00900844
43,2127.43,1.15381,0.71572,0.95221,0.64587,0.55264,0.5688,0.3547,1.17044,0.78855,0.9532,0.00896127,0.00896127,0.00896127
44,2176.45,1.15326,0.72059,0.94754,0.64886,0.55319,0.56884,0.3537,1.17072,0.78762,0.95714,0.00891313,0.00891313,0.00891313
45,2225.71,1.16212,0.71496,0.95627,0.64055,0.5562,0.56653,0.35375,1.16579,0.78942,0.95924,0.00886404,0.00886404,0.00886404
46,2274.57,1.17337,0.72992,0.96163,0.65429,0.55362,0.56542,0.35288,1.16577,0.79078,0.9544,0.00881401,0.00881401,0.00881401
47,2323.8,1.15918,0.71049,0.9538,0.64677,0.55335,0.56782,0.35292,1.17044,0.78893,0.95927,0.00876305,0.00876305,0.00876305
48,2373.43,1.16011,0.71517,0.94174,0.65403,0.54715,0.56128,0.34872,1.17567,0.79442,0.9591,0.00871117,0.00871117,0.00871117
49,2422.23,1.14123,0.70536,0.94659,0.64751,0.55143,0.56641,0.35423,1.16666,0.78286,0.95432,0.00865839,0.00865839,0.00865839
50,2471.17,1.12659,0.69995,0.94182,0.6405,0.55608,0.56604,0.35308,1.16555,0.78584,0.95657,0.00860473,0.00860473,0.00860473
51,2520.08,1.14071,0.69916,0.94262,0.6422,0.55362,0.56482,0.35151,1.17477,0.78731,0.95786,0.00855018,0.00855018,0.00855018
52,2569.04,1.15336,0.70629,0.9445,0.66345,0.54797,0.57007,0.35519,1.16661,0.78457,0.95543,0.00849477,0.00849477,0.00849477
53,2617.99,1.12791,0.68585,0.94228,0.65208,0.55738,0.56976,0.35515,1.16899,0.78332,0.95544,0.00843851,0.00843851,0.00843851
54,2667.11,1.13416,0.69077,0.94493,0.64819,0.55232,0.56596,0.35272,1.16381,0.78467,0.9537,0.00838141,0.00838141,0.00838141
55,2716.6,1.14259,0.6879,0.94372,0.65265,0.55371,0.5671,0.35433,1.16043,0.78285,0.95581,0.00832349,0.00832349,0.00832349
56,2765.77,1.14651,0.68589,0.93906,0.63969,0.56424,0.57201,0.35838,1.16708,0.7796,0.95651,0.00826477,0.00826477,0.00826477
57,2814.64,1.11903,0.67631,0.93608,0.64837,0.55297,0.56834,0.35458,1.166,0.78311,0.95686,0.00820525,0.00820525,0.00820525
58,2864.38,1.12508,0.67012,0.94496,0.65805,0.55193,0.56644,0.35267,1.16776,0.78494,0.95645,0.00814495,0.00814495,0.00814495
59,2913.49,1.12394,0.67416,0.94137,0.66808,0.55315,0.5712,0.35643,1.16655,0.77727,0.95543,0.00808389,0.00808389,0.00808389
60,2962.75,1.11753,0.66463,0.93245,0.65633,0.55871,0.57424,0.35795,1.16853,0.77756,0.95612,0.00802208,0.00802208,0.00802208
61,3011.94,1.11012,0.66236,0.93396,0.64952,0.56319,0.57144,0.35824,1.16356,0.77795,0.95685,0.00795954,0.00795954,0.00795954
