epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,2.437923130115864,0.4397571108980505,1.0913229066533747,0.8112522686025408,2.98214809386295e-05,0.00029815940691897306
2,0.9279547473728257,0.8271013103227869,0.5582400164997946,0.9019963702359347,2.929031948627973e-05,0.0002926829491861254
3,0.5484633843294535,0.8932566315116651,0.4008839781076636,0.9147005444646098,2.8419594600731336e-05,0.00028370547536616097
4,0.37721398523266075,0.9274528603387664,0.3359134045789549,0.9219600725952813,2.723074641843674e-05,0.00027144804065905466
5,0.27638575868051857,0.9482262703739214,0.28975865961527436,0.9292196007259528,2.575304832720494e-05,0.0002562124637873889
6,0.21993833553604364,0.9581335890060723,0.2694875176340179,0.9274047186932849,2.4022886158240864e-05,0.00023837389521772474
7,0.17397259247211574,0.9721955896452541,0.23901933622284507,0.9491833030852994,2.2082862246223432e-05,0.00021837157971106225
8,0.142321511364928,0.975071907957814,0.23510694570041613,0.9364791288566243,1.998074641843674e-05,0.00019669804065905466
9,0.11258622990149056,0.9843400447427293,0.23483579843803673,0.9310344827586207,1.776829974308335e-05,0.00017388695252351454
10,0.0944019560045844,0.9878555449025248,0.22134243185799266,0.9274047186932849,1.55e-05,0.0001505
11,0.08488172469389785,0.9910514541387024,0.22097013195716317,0.9346642468239564,1.3231700256916657e-05,0.0001271130474764855
12,0.07032490275459725,0.9929689996804091,0.2194828498168779,0.9382940108892922,1.1019253581563265e-05,0.00010430195934094536
13,0.07172933013704343,0.9926494087567913,0.2191136767597575,0.9310344827586207,8.917137753776574e-06,8.262842028893775e-05
14,0.057555979046912266,0.9961649089165868,0.21447301192205745,0.9310344827586207,6.977113841759142e-06,6.262610478227527e-05
15,0.05720744438924207,0.9974432726110578,0.215529039299315,0.9346642468239564,5.246951672795062e-06,4.478753621261114e-05
16,0.05365246809607079,0.9952061361457335,0.21776063307551852,0.9346642468239564,3.769253581563264e-06,2.9551959340945366e-05
17,0.04718791669161414,0.9977628635346756,0.212937151861061,0.9364791288566243,2.5804053992686675e-06,1.7294524633839014e-05
18,0.045515385133441395,0.9984020453819111,0.21107955732654962,0.9364791288566243,1.7096805137202739e-06,8.317050813874547e-06
19,0.047900851381381275,0.9964844998402045,0.21389076207002147,0.9346642468239564,1.1785190613705039e-06,2.84059308102692e-06
20,0.046420740196406934,0.9961649089165868,0.21024856248535825,0.9382940108892922,1e-06,1e-06
