epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,2.286482306134781,0.518056887184404,0.9928418678077725,0.8112522686025408,2.929031948627973e-05,0.0002926829491861254
2,0.8156736015930615,0.8577820389900926,0.5206236163739068,0.911070780399274,2.7230746418436738e-05,0.0002714480406590546
3,0.4747531839779445,0.9156279961649089,0.38306958118822093,0.9165154264972777,2.402288615824086e-05,0.0002383738952177247
4,0.3276690729760103,0.9443911792905082,0.328849430552628,0.9201451905626135,1.9980746418436738e-05,0.0001966980406590546
5,0.25095428635933864,0.959731543624161,0.2889079735250958,0.9310344827586207,1.55e-05,0.00015049999999999997
6,0.2032666388564538,0.9661233620965165,0.27172714344710924,0.9310344827586207,1.1019253581563265e-05,0.00010430195934094535
7,0.17247516259708204,0.9776286353467561,0.2570950791726528,0.9401088929219601,6.977113841759142e-06,6.262610478227527e-05
8,0.15279703315605786,0.979226589964845,0.25066372032823236,0.9346642468239564,3.769253581563264e-06,2.955195934094537e-05
9,0.1386868852149301,0.9824224992010226,0.25460967197067724,0.9328493647912885,1.7096805137202739e-06,8.317050813874547e-06
10,0.13427380690771995,0.9868967721316715,0.24885144123905584,0.9328493647912885,1e-06,1e-06
