epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,1.2844508039985614,0.6804090763822307,0.3890930039101633,0.8892921960072595,9.939057285945933e-05,0.0009938503261272714
2,0.32173362697664254,0.921061041866411,0.33169974805871716,0.896551724137931,9.757729755661012e-05,0.0009755527298894295
3,0.15267649211510945,0.9664429530201343,0.2426558172637884,0.9274047186932849,9.460482294732422e-05,0.0009455577588320899
4,0.09096268774240913,0.9821029082774049,0.23630739766732534,0.9401088929219601,9.054634122155992e-05,0.0009046039886902865
5,0.06537961041612551,0.9884947267497604,0.23079352851571708,0.925589836660617,8.550178566873411e-05,0.0008536998372026806
6,0.04095753232721381,0.9926494087567913,0.22872515139043223,0.9237749546279492,7.959536998847744e-05,0.0007940987335200905
7,0.030326365773914607,0.9942473633748802,0.22736782041089287,0.9364791288566243,7.297252973710758e-05,0.0007272682546199038
8,0.02271801253888469,0.9968040907638223,0.2290274334391968,0.9219600725952813,6.579634122155991e-05,0.0006548539886902865
9,0.014853701304993182,0.9984020453819111,0.20574454262771538,0.9364791288566243,5.824350601949144e-05,0.0005786390152875956
10,0.015546800989565967,0.9980824544582934,0.22095336141690153,0.9292196007259528,5.050000000000001e-05,0.0005005000000000002
11,0.01244975816126295,0.9980824544582934,0.21855999393212844,0.9292196007259528,4.275649398050859e-05,0.000422360984712405
12,0.007473996515392057,1.0,0.22217817737901763,0.9328493647912885,3.520365877844011e-05,0.00034614601130971394
13,0.010810711014790824,0.9980824544582934,0.22545503009239148,0.9382940108892922,2.8027470262892444e-05,0.0002737317453800965
14,0.00562461163728391,1.0,0.2196129096736168,0.9346642468239564,2.1404630011522593e-05,0.00020690126647990978
15,0.005445290806611893,0.9996804090763822,0.22321887950864222,0.9346642468239564,1.5498214331265904e-05,0.00014730016279731957
16,0.005680141146939168,0.9996804090763822,0.21808827744827297,0.9382940108892922,1.0453658778440109e-05,9.639601130971382e-05
17,0.004171316828918022,1.0,0.21524113828414365,0.9401088929219601,6.3951770526757955e-06,5.54422411679103e-05
18,0.005276109127952253,0.9996804090763822,0.21202218971686765,0.9346642468239564,3.422702443389901e-06,2.5447270110570818e-05
19,0.005091035812625887,0.9996804090763822,0.21789657364949286,0.9346642468239564,1.609427140540686e-06,7.149673872728741e-06
20,0.004011520600382723,0.9996804090763822,0.20944242226889528,0.9364791288566243,1e-06,1e-06
