epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,1.7399343063024408,0.6228827101310322,0.6259208745078036,0.8493647912885662,9.939057285945933e-05,0.0009938503261272714
2,0.463379774793873,0.8910194950463407,0.37042768726872444,0.8838475499092558,9.757729755661012e-05,0.0009755527298894295
3,0.2262215167974542,0.9485458612975392,0.2998842388770109,0.9092558983666061,9.460482294732422e-05,0.0009455577588320899
4,0.11538208104353356,0.9773090444231384,0.28687228481479654,0.9165154264972777,9.054634122155992e-05,0.0009046039886902865
5,0.06910514881784979,0.9881751358261426,0.30100062311020176,0.9092558983666061,8.550178566873411e-05,0.0008536998372026806
6,0.04840617623809962,0.9900926813678491,0.26612248427205853,0.9219600725952813,7.959536998847744e-05,0.0007940987335200905
7,0.0363510529346676,0.9939277724512624,0.29015932314625237,0.9274047186932849,7.297252973710758e-05,0.0007272682546199038
8,0.029359248658768967,0.9955257270693513,0.28730640118221623,0.9074410163339383,6.579634122155991e-05,0.0006548539886902865
9,0.023231400542387416,0.99712368168744,0.27795182371312604,0.9147005444646098,5.824350601949144e-05,0.0005786390152875956
10,0.013700677207249943,0.9990412272291467,0.2794213984601078,0.9165154264972777,5.050000000000001e-05,0.0005005000000000002
11,0.01000510535946133,0.9990412272291467,0.2585099651030317,0.9128856624319419,4.275649398050859e-05,0.000422360984712405
12,0.011200197738708114,0.9987216363055289,0.25127746524481936,0.9201451905626135,3.520365877844011e-05,0.00034614601130971394
13,0.008204266298580147,0.9996804090763822,0.2641684487597263,0.9237749546279492,2.8027470262892444e-05,0.0002737317453800965
14,0.007164372390772482,1.0,0.24976366774572867,0.925589836660617,2.1404630011522593e-05,0.00020690126647990978
15,0.00575655513672535,1.0,0.24812412510766307,0.925589836660617,1.5498214331265904e-05,0.00014730016279731957
16,0.0060979876906565485,0.9996804090763822,0.25286537311470875,0.925589836660617,1.0453658778440109e-05,9.639601130971382e-05
17,0.0059134151739538305,0.9996804090763822,0.2544253748687772,0.9274047186932849,6.3951770526757955e-06,5.54422411679103e-05
18,0.004289533922698178,1.0,0.24624507613277263,0.9292196007259528,3.422702443389901e-06,2.5447270110570818e-05
19,0.004912742261485232,0.9996804090763822,0.25383357884879554,0.9219600725952813,1.609427140540686e-06,7.149673872728741e-06
20,0.0034540056519760383,1.0,0.2604796766369399,0.9201451905626135,1e-06,1e-06
