epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,0.7648992572931026,0.7903483541067434,0.23447481325798805,0.925589836660617,9.939057285945933e-05,0.0009938503261272714
2,0.21128166841980595,0.9395973154362416,0.23938738817041452,0.9237749546279492,9.757729755661012e-05,0.0009755527298894295
3,0.10888901371395733,0.962607861936721,0.21794901125660393,0.9455535390199638,9.460482294732422e-05,0.0009455577588320899
4,0.09893901603991095,0.968040907638223,0.22373682674284207,0.9346642468239564,9.054634122155992e-05,0.0009046039886902865
5,0.0710159562276328,0.9785874081176095,0.19013873831674916,0.9509981851179673,8.550178566873411e-05,0.0008536998372026806
6,0.05549022662859635,0.9846596356663471,0.2052881392149995,0.9491833030852994,7.959536998847744e-05,0.0007940987335200905
7,0.03652369290275976,0.9907318632150847,0.24954684807694164,0.9292196007259528,7.297252973710758e-05,0.0007272682546199038
8,0.025393009522722033,0.991690635985938,0.2623753684239898,0.9382940108892922,6.579634122155991e-05,0.0006548539886902865
9,0.02127799609873638,0.9939277724512624,0.2138156415581933,0.9509981851179673,5.824350601949144e-05,0.0005786390152875956
10,0.013296484642344524,0.9968040907638223,0.17106481280960414,0.9491833030852994,5.050000000000001e-05,0.0005005000000000002
11,0.013070447104503828,0.9942473633748802,0.16341597301515323,0.9637023593466425,4.275649398050859e-05,0.000422360984712405
12,0.011893419497209602,0.99712368168744,0.18023969703884254,0.9618874773139746,3.520365877844011e-05,0.00034614601130971394
13,0.004966818246265386,0.9990412272291467,0.20023155112044308,0.9546279491833031,2.8027470262892444e-05,0.0002737317453800965
14,0.004253022203736243,0.9990412272291467,0.18810068476525138,0.956442831215971,2.1404630011522593e-05,0.00020690126647990978
15,0.003947577524374243,0.9987216363055289,0.18562745873361214,0.9546279491833031,1.5498214331265904e-05,0.00014730016279731957
16,0.003919326980951461,0.9996804090763822,0.18190777395300892,0.9600725952813067,1.0453658778440109e-05,9.639601130971382e-05
17,0.004178923708301891,0.9993608181527645,0.17592379852779508,0.9600725952813067,6.3951770526757955e-06,5.54422411679103e-05
18,0.0030352269638938127,0.9996804090763822,0.17438398084574516,0.9600725952813067,3.422702443389901e-06,2.5447270110570818e-05
19,0.0031284248916513815,0.9996804090763822,0.1744824551800587,0.9618874773139746,1.609427140540686e-06,7.149673872728741e-06
20,0.004144104497026188,0.9996804090763822,0.17424506016482114,0.9618874773139746,1e-06,1e-06
