frame,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,count_point_x,count_point_y,signed_distance,crossed_line
0,0.0,54,3,car,0.705774,1068.67,433.44,1149.66,468.76,1109,451,1109,469,-229.000000,0
0,0.0,55,0,pedestrian,0.682973,1096.44,847.00,1112.39,861.61,1104,854,1104,862,-224.000000,0
0,0.0,56,4,van,0.668821,283.46,209.97,372.78,281.30,328,246,328,281,552.000000,0
0,0.0,57,3,car,0.656469,0.00,20.60,21.81,80.77,11,51,11,81,869.000000,0
0,0.0,58,3,car,0.575314,1549.78,501.11,1633.29,538.25,1592,520,1592,538,-712.000000,0
0,0.0,59,0,pedestrian,0.524604,1050.65,919.78,1062.74,938.15,1057,929,1057,938,-177.000000,0
0,0.0,60,4,van,0.488907,1564.83,926.04,1639.35,1000.62,1602,963,1602,1001,-722.000000,0
0,0.0,61,0,pedestrian,0.470935,316.24,80.45,329.46,94.34,323,87,323,94,557.000000,0
0,0.0,62,7,awning-tricycle,0.386086,580.87,60.60,661.66,110.26,621,85,621,110,259.000000,0
0,0.0,63,0,pedestrian,0.378474,1141.17,876.65,1157.50,892.52,1149,885,1149,893,-269.000000,0
0,0.0,64,3,car,0.328731,39.99,0.54,106.99,24.16,73,12,73,24,807.000000,0
0,0.0,65,0,pedestrian,0.312536,611.09,228.00,625.91,244.45,618,236,618,244,262.000000,0
0,0.0,66,0,pedestrian,0.304987,690.97,179.45,713.90,197.33,702,188,702,197,178.000000,0
0,0.0,67,0,pedestrian,0.303208,647.51,995.85,664.03,1011.68,656,1004,656,1012,224.000000,0
0,0.0,68,0,pedestrian,0.302462,690.01,160.27,704.89,180.51,697,170,697,181,183.000000,0
0,0.0,69,0,pedestrian,0.230735,1143.87,860.56,1156.78,874.75,1150,868,1150,875,-270.000000,0
0,0.0,70,5,truck,0.182121,212.80,0.00,456.52,26.21,335,13,335,26,545.000000,0
0,0.0,71,0,pedestrian,0.180152,236.78,932.24,261.86,948.28,249,940,249,948,631.000000,0
